Trekking Pole,MSRP Pair ($),Useable height range of test pair (cm),Collapsed Length (cm),List Weight per pole (g),Shaft Segments,Shaft diameter (mm) rounded to nearest mm,Center Shaft Diameter,Narrowest shaft diameter point immediately above tip (mm),Configuration,Handle material,Grip extender,Shaft Material,Material modifier
Black Diamond Alpine Carbon Cork,230,100-130,61,243,3,18/16/13,16,10.5,Telescope,Cork,yes,Carbon,100%
Black Diamond Distance FLZ Aluminum,170,125-140,40,223,4,16/14/14/14,14,10,Z-Pole,EVA Foam,yes,Aluminum,7075
Black Diamond Distance FLZ Carbon,220,125-140,40,182,4,17/15/12/12,12,10,Z-Pole,Cork,yes,Carbon,100%
Black Diamond Pursuit,160,100-140,68,267,3,16/14/12,14,11.5,Telescope,Cork,yes,Aluminum,7000
Black Diamond Pursuit Carbon FLZ,220,120-135,39,251,5,18/16/14/14/14,14,11,Z-Pole,Cork,yes,Carbon,100%
CMT Carbon - New ,65,66-137,66,230,3,18/16/14,16,12,Telescope,Cork,yes,Carbon,100%
CMT Carbon - Used,65,66-137,66,230,3,18/16/14,16,12,Telescope,Cork,yes,Carbon,100%
CMT Carbon 3K,75,66-137,66,227,3,18/16/14,16,12,Telescope,Cork,yes,Carbon,2x2 twill weave
CMT Carbon UL,65,76-132,76,159,2,16/14,16,12,Telescope,EVA Foam,yes,Carbon,100%
CMT Folding Aluminum,50,114-137,42,297,4,16/14/14/13,14,13,Z-Pole,Cork,yes,Aluminum,7075
Diorite Gear Carbon,190,71-158,71,277,3,18/16/13,16,13,Telescope,Cork,yes,Carbon,100%
Durston Iceline - used,199,95-127,49,145,3,18/16/16,16,11,Other,EVA Foam,no,Carbon,100%
Fizan aluminum ultralight poles,70,59-132,59,158,3,17/16/14,16,10,Telescope,Cork,no,Aluminum,7001
Freevane Kodiak Telescoping,79,63-135,63,209,3,18/16/14,16,12.5,Telescope,Cork,yes,Carbon,2x2 twill weave
Freevane Panther Folding,90,113-135,37,214,5,18/16/14/14/14,14,11,Z-Pole,Cork,yes,Carbon,T700
Gossamer Gear LT3,245,115-130,38,178,5,16/14/12/12/12,12,10,Z-Pole,EVA Foam,no,Carbon,100%
Gossamer Gear LT5,195,60-130,60,139,3,16/14/12,14,10.5,Telescope,EVA Foam,no,Carbon,100%
GrassSticks,144,130,130,313,1,20/18/16,18,15,Fixed,Cork,no,bamboo,natural
Komperdell Carbon FXP Team,270,125,46,225,3,16/16/16,16,10,Z-Pole,Cork,yes,Carbon,100%
Komperdell Carbon Ultra Zero,250,105-140,67,187,3,18/16/14,16,10.5,Telescope,Cork,yes,Carbon,100%
Komperdell FX L Carbon Vario Summit,250,105-140,41,236,3,18/16/14,16,11,Z-Pole,Cork,yes,Carbon,
Leki Black Series FX,250,110-130,40,228,4,16/14/14/14,14,10.5,Z-Pole,Cork,yes,Carbon,PRC 1000
Leki Hemp.one vario,280,110-130,110,335,2,18/16,16,16,Other,Cork,yes,hemp,composite resin
Leki Makalu FX Carbon,230,110-130,41,252,5,18/16/14/14/14,14,10,Z-Pole,EVA Foam,yes,Carbon,PRC 1000
Leki SkyTera Carbon Lite,190,100-135,67,196,3,16/14/12,14,10,Telescope,EVA Foam,yes,Carbon,PRC 1000
Leki Skyterra FX,220,110-130,40,178,4,14/12/12/12,12,10,Z-Pole,EVA Foam,yes,Carbon,Carbon (HRC)
Leki UltraTrail FX One,220,125,39,185,4,16/14/14/14,14,10,Z-Pole,Cork,yes,Carbon,Carbon (HRC)
Montem Ultra Strong,75,61-135,61,269,3,16/14/12,14,12,Telescope,EVA Foam,yes,Aluminum,7075
MSR Dynalock Ascent Carbon,190,120-140,36,250,4,16/13/13/13,16,11,Z-Pole,EVA Foam,yes,Carbon,100%
Paria Tri-Fold Carbon,70,115-135,38,255,5,18/16/14/14/14,14,12.5,Z-Pole,Cork,yes,Carbon,100%
REI Co-op Flash,169,105-140,64,193,3,16/14/12,14,10,Telescope,EVA Foam,no,Carbon,100%
REI Co-op Swiftland TT,189,125,40,167,4,16/13/13/13,14,10,Z-Pole,EVA Foam,no,Carbon,100%
REI Co-op Trailmade,80,105-140,64,241,3,16/14/12,14,11.5,Telescope,EVA Foam,no,Aluminum,7065
Ruta Locurra Yana (straps and baskets),190,78-135,71,114,2,12/10,12,9.5,Other,EVA Foam,no,Carbon,Engineered 
TrailBuddy Trekking Poles Lightweight,55,62-137,62,275,3,18/16/14,16,12.5,Telescope,Cork,no,Aluminum,7075
Zpacks Carbon 2025,100,62-137,62,205,3,16/14/12,14,12,Telescope,EVA Foam,yes,Carbon,100%
Zpacks Minimalist 2025,100,62-132,62,166,3,16/14/12,14,12,Telescope,EVA Foam,no,Carbon,100%
Average,171,,57,224,,16/14/12/12/12,12,10,Z-Pole,EVA Foam,no,Carbon,100%
