Trekking Pole,Handle (0-2),Strap (0-2),Grip Extender (0-1),Locks (0-1),Other,Total,Specific bonus or flaw
Black Diamond Alpine Carbon Cork,2,1,1,1,,5,
Black Diamond Distance FLZ Aluminum,2,2,1,1,1,7,aluminum durability bend-not-break
Black Diamond Distance FLZ Carbon,2,2,1,1,,6,
Black Diamond Pursuit,2,1,1,1,,5,
Black Diamond Pursuit Carbon Z,2,2,1,1,0,6,
CMT Carbon - New ,2,1,1,0,,4,
CMT Carbon - Used,2,1,1,0,,4,
CMT Carbon 3K,2,1,1,0,,4,
CMT Carbon UL,2,1,1,0,-1,3,Minimum collapsed height is tall
CMT Folding Aluminum,2,1,1,0,0,4,Very loose upper joint | aluminum durability bend-not-break
Diorite Gear Carbon,1,0,1,0,,2,
Durston Iceline,2,2,0,1,-1,4,Max useable height of 127 cm is slightly too short
Fizan aluminum ultralight poles,1,2,0,-1,1,3,aluminum durability bend-not-break
Freevane Kodiak Telescoping,2,1,1,1,0,5,
Gossamer Gear FT3,2,2,0,0,0,4,
Gossamer Gear LT5,2,2,0,-1,,3,
GrassSticks,2,0,0,0,,2,
Komperdell Carbon FXP Team,2,0,1,0,-1,2,annoying quick connect system
Komperdell Carbon Ultra Zero,2,1,1,1,,5,
Komperdell FX L Carbon Vario Summit,2,1,1,1,,5,
Leki Black Series FX,2,2,1,1,-1,5,Suction from from mud opens 5mm gap in joints
Leki Hemp.one vario,1,1,1,1,,4,
Leki Skyterra FX,2,2,1,1,-1,5,Suction from from mud opens 5mm gap in joints
Leki UltraTrail FX One,1,0,1,0,,2,
Montem Ultra Strong,2,1,1,0,1,5,aluminum durability bend-not-break
MSR Dynalock Ascent Carbon,2,1,0,1,,4,
Paria Tri-Fold Carbon,2,2,1,1,0,6,
REI Co-op Flash,2,1,0,0,,3,
REI Co-op Swiftland TT,2,2,0,0,,4,undersized ferrules
REI Co-op Trailmade,2,1,0,1,1,5,aluminum durability bend-not-break
Ruta Locurra Yana (straps and baskets),2,0,0,-1,,1,
TrailBuddy Trekking Poles Lightweight,0,1,0,0,1,2,aluminum durability bend-not-break
Zpacks Carbon,2,1,1,-1,,3,
Zpacks Minimalist,2,2,0,-1,,3,
Freevane Panther,2,2,1,1,,6,
Leki Leki Makalu FX Carbon,2,2,1,1,,6,
Leki SkyTera Carbon Lite,2,2,1,1,,6,
